year,quarter,t,country,iso3,GDPnomunsa,GDPnomsa,GDPrealunsa,GDPrealsa,empl,empl_source,empl_q,empl_interp,empl_annual,realGDP_empl
2018,1,2018q1,Albania,ALB,374654.981462,,343699.872638,,1219.856,observed quarterly,1219.856,1215.184758382303,1228.957,
2018,2,2018q2,Albania,ALB,432111.35646,,402555.55962,,1227.648,observed quarterly,1227.648,1224.492188815526,1228.957,
2018,3,2018q3,Albania,ALB,409249.419712,,377959.003834,,1232.265,observed quarterly,1232.265,1233.610715216612,1228.957,
2018,4,2018q4,Albania,ALB,420713.846422,,386944.349905,,1236.061,observed quarterly,1236.061,1242.540337585559,1228.957,
2019,1,2019q1,Albania,ALB,384531.588401,,351050.442933,,1241.714,observed quarterly,1241.714,1258.595681106778,1264.67,
2019,2,2019q2,Albania,ALB,447422.055183,,410431.116478,,1270.096,observed quarterly,1270.096,1267.576147683763,1264.67,
2019,3,2019q3,Albania,ALB,430750.280472,,394403.5198,,1273.661,observed quarterly,1273.661,1269.160233288492,1264.67,
2019,4,2019q4,Albania,ALB,429199.505712,,386822.350069,,1273.208,observed quarterly,1273.208,1263.347937920967,1264.67,
2020,1,2020q1,Albania,ALB,383022.856382,,343200.708824,,1254.887,observed quarterly,1254.887,1246.52087650283,1241.556,
2020,2,2020q2,Albania,ALB,395177.837572,,364386.348615,,1222.724,observed quarterly,1222.724,1240.759491082923,1241.556,
2020,3,2020q3,Albania,ALB,424061.07251,,383014.989768,,1258.895,observed quarterly,1258.895,1238.675307290046,1241.556,
2020,4,2020q4,Albania,ALB,445169.304899,,401163.917124,,1229.72,observed quarterly,1229.72,1240.2683251242,1241.556,
2021,1,2021q1,Albania,ALB,407678.028209,,361499.269252,,1222.555,observed quarterly,1222.555,1240.139316999558,1247.947,
2021,2,2021q2,Albania,ALB,493079.168347,,431958.630262,,1237.667,observed quarterly,1237.667,1241.730125876908,1247.947,
2021,3,2021q3,Albania,ALB,467074.415044,,409396.112984,,1267.595,observed quarterly,1267.595,1248.742404438674,1247.947,
2021,4,2021q4,Albania,ALB,488340.489482,,421806.337746,,1263.97,observed quarterly,1263.97,1261.176152684859,1247.947,
2022,1,2022q1,Albania,ALB,474125.748244,,387596.420741,,1266.451,observed quarterly,1266.451,1303.601639981273,1297.899,
2022,2,2022q2,Albania,ALB,558742.706682,,445837.204822,,1288.518,observed quarterly,1288.518,1316.328185678657,1297.899,
2022,3,2022q3,Albania,ALB,542800.139053,,429602.584914,,1321.544,observed quarterly,1321.544,1304.262272848692,1297.899,
2022,4,2022q4,Albania,ALB,562670.538961,,440524.498228,,1315.32,observed quarterly,1315.32,1267.403901491377,1297.899,
2023,1,2023q1,Albania,ALB,508298.204133,,398499.608932,,1148.593,observed quarterly,1148.593,1185.987846064664,1153.229,
2023,2,2023q2,Albania,ALB,601229.545467,,460490.087061,,1160.037,observed quarterly,1160.037,1150.464105264313,1153.229,
2023,3,2023q3,Albania,ALB,585983.947296,,446067.365747,,1164.287,observed quarterly,1164.287,1135.467129599824,1153.229,
2023,4,2023q4,Albania,ALB,617079.2609,,457294.271768,,1139.998,observed quarterly,1139.998,1140.9969190712,1153.229,
2024,1,2024q1,Albania,ALB,547863.781546,,412948.377159,,1174.096,observed quarterly,1174.096,1167.304,1175.749,
2001,1,2001q1,Algeria,DZA,1180885.8,,,,6045.734375000005,interpolated from annual,,6045.734375000005,6228.8,
2001,2,2001q2,Algeria,DZA,1205163.4,,,,6167.778125000003,interpolated from annual,,6167.778125000003,6228.8,
2001,3,2001q3,Algeria,DZA,1098948.5,,,,6289.821874999996,interpolated from annual,,6289.821874999996,6228.8,
2001,4,2001q4,Algeria,DZA,1102609.3,,,,6411.865624999997,interpolated from annual,,6411.865624999997,6228.8,
2002,1,2002q1,Algeria,DZA,1174222.2,,,,6533.909374999999,interpolated from annual,,6533.909374999999,,
2002,2,2002q2,Algeria,DZA,1250181.8,,,,6655.953125,interpolated from annual,,6655.953125,,
2002,3,2002q3,Algeria,DZA,1191969.9,,,,6777.996874999997,interpolated from annual,,6777.996874999997,,
2002,4,2002q4,Algeria,DZA,1285346.1,,,,6900.040624999998,interpolated from annual,,6900.040624999998,,
2003,1,2003q1,Algeria,DZA,1404604.8,,,,7022.084374999999,interpolated from annual,,7022.084374999999,,
2003,2,2003q2,Algeria,DZA,1416449.3,,,,7144.128124999999,interpolated from annual,,7144.128124999999,,
2003,3,2003q3,Algeria,DZA,1374258,,,,7266.171875,interpolated from annual,,7266.171875,,
2003,4,2003q4,Algeria,DZA,1491845.9,,,,7388.215624999997,interpolated from annual,,7388.215624999997,,
2004,1,2004q1,Algeria,DZA,1582316.4,,,,7510.259374999998,interpolated from annual,,7510.259374999998,,
2004,2,2004q2,Algeria,DZA,1658469.5,,,,7632.303124999999,interpolated from annual,,7632.303124999999,,
2004,3,2004q3,Algeria,DZA,1694038.3,,,,7754.346874999999,interpolated from annual,,7754.346874999999,,
2004,4,2004q4,Algeria,DZA,1688530.7,,,,7876.390625,interpolated from annual,,7876.390625,,
2005,1,2005q1,Algeria,DZA,1869675.2,,,,7974.174497580962,interpolated from annual,,7974.174497580962,8181.5,
2005,2,2005q2,Algeria,DZA,1932148.9,,,,8095.848079336035,interpolated from annual,,8095.848079336035,8181.5,
2005,3,2005q3,Algeria,DZA,1956909.8,,,,8242.336790877536,interpolated from annual,,8242.336790877536,8181.5,
2005,4,2005q4,Algeria,DZA,2085247,,,,8413.640632205466,interpolated from annual,,8413.640632205466,8181.5,
2006,1,2006q1,Algeria,DZA,2157053.7,,,,8729.404879881553,interpolated from annual,,8729.404879881553,8868.799999999999,
2006,2,2006q2,Algeria,DZA,2305469.7,,,,8903.591281790219,interpolated from annual,,8903.591281790219,8868.799999999999,
2006,3,2006q3,Algeria,DZA,2248664.1,,,,8955.89320095433,interpolated from annual,,8955.89320095433,8868.799999999999,
2006,4,2006q4,Algeria,DZA,2230467.5,,,,8886.31063737389,interpolated from annual,,8886.31063737389,8868.799999999999,
2007,1,2007q1,Algeria,DZA,2298125.8,,,,8593.916548433106,interpolated from annual,,8593.916548433106,8594.243,
2007,2,2007q2,Algeria,DZA,2471283.7,,,,8526.092437308051,interpolated from annual,,8526.092437308051,8594.243,
2007,3,2007q3,Algeria,DZA,2452661,,,,8560.330944437474,interpolated from annual,,8560.330944437474,8594.243,
2007,4,2007q4,Algeria,DZA,2650900.5,,,,8696.632069821371,interpolated from annual,,8696.632069821371,8594.243,
2008,1,2008q1,Algeria,DZA,2810606.2,,,,8966.714065133792,interpolated from annual,,8966.714065133792,9146,
2008,2,2008q2,Algeria,DZA,3117394.1,,,,9105.0795651397,interpolated from annual,,9105.0795651397,9146,
2008,3,2008q3,Algeria,DZA,3073419.5,,,,9215.182750002956,interpolated from annual,,9215.182750002956,9146,
2008,4,2008q4,Algeria,DZA,2648274.2,,,,9297.023619723554,interpolated from annual,,9297.023619723554,9146,
2009,1,2009q1,Algeria,DZA,2648036.3,,,,9357.777304429354,interpolated from annual,,9357.777304429354,9472.355,
2009,2,2009q2,Algeria,DZA,2716211.9,,,,9439.434165354056,interpolated from annual,,9439.434165354056,9472.355,
2009,3,2009q3,Algeria,DZA,2703206,,,,9513.18343046235,interpolated from annual,,9513.18343046235,9472.355,
2009,4,2009q4,Algeria,DZA,2852708.9,,,,9579.025099754235,interpolated from annual,,9579.025099754235,9472.355,
2010,1,2010q1,Algeria,DZA,3190394.5,,,,9686.526691269866,interpolated from annual,,9686.526691269866,9735.502,
2010,2,2010q2,Algeria,DZA,3312502.6,,,,9752.652756280993,interpolated from annual,,9752.652756280993,9735.502,
2010,3,2010q3,Algeria,DZA,3375781.8,,,,9768.565032505563,interpolated from annual,,9768.565032505563,9735.502,
2010,4,2010q4,Algeria,DZA,3346037.1,,,,9734.263519943577,interpolated from annual,,9734.263519943577,9735.502,
2011,1,2011q1,Algeria,DZA,3747564.6,,,,9562.090555033501,interpolated from annual,,9562.090555033501,9599,
2011,2,2011q2,Algeria,DZA,3950259.9,,,,9528.276590706351,interpolated from annual,,9528.276590706351,9599,
2011,3,2011q3,Algeria,DZA,3984777.5,,,,9582.093017836425,interpolated from annual,,9582.093017836425,9599,
2011,4,2011q4,Algeria,DZA,4242068,,,,9723.539836423724,interpolated from annual,,9723.539836423724,9599,
2012,1,2012q1,Algeria,DZA,4455721.5,,,,9950.004790683963,interpolated from annual,,9950.004790683963,10170,
2012,2,2012q2,Algeria,DZA,4462019.6,,,,10092.67062205189,interpolated from annual,,10092.67062205189,10170,
2012,3,2012q3,Algeria,DZA,4084849.3,,,,10241.33291568396,interpolated from annual,,10241.33291568396,10170,
2012,4,2012q4,Algeria,DZA,4609219.7,,,,10395.99167158019,interpolated from annual,,10395.99167158019,10170,
2013,1,2013q1,Algeria,DZA,4600022.4,,,,10701.69354270413,interpolated from annual,,10701.69354270413,10789,
2013,2,2013q2,Algeria,DZA,4435724,,,,10858.56639340412,interpolated from annual,,10858.56639340412,10789,
2013,3,2013q3,Algeria,DZA,4440293.7,,,,10867.43642535,interpolated from annual,,10867.43642535,10789,
2013,4,2013q4,Algeria,DZA,4754994.9,,,,10728.30363854177,interpolated from annual,,10728.30363854177,10789,
2014,1,2014q1,Algeria,DZA,4786375.7,,,,10350.47028977188,interpolated from annual,,10350.47028977188,10240,
2014,2,2014q2,Algeria,DZA,4817910.4,,,,10214.47382731457,interpolated from annual,,10214.47382731457,10240,
2014,3,2014q3,Algeria,DZA,4808271.7,,,,10172.00176877135,interpolated from annual,,10172.00176877135,10240,
2014,4,2014q4,Algeria,DZA,4841207.2,,,,10223.0541141422,interpolated from annual,,10223.0541141422,10240,
2015,1,2015q1,Algeria,DZA,4672310.8,,,,10368.80729166667,interpolated from annual,,10368.80729166667,,
2015,2,2015q2,Algeria,DZA,4685995.9,,,,10420.33020833333,interpolated from annual,,10420.33020833333,,
2015,3,2015q3,Algeria,DZA,4618951.2,,,,10471.853125,interpolated from annual,,10471.853125,,
2015,4,2015q4,Algeria,DZA,4901767.1,,,,10523.37604166667,interpolated from annual,,10523.37604166667,,
2016,1,2016q1,Algeria,DZA,4747347.6,,,,10574.89895833333,interpolated from annual,,10574.89895833333,,
2016,2,2016q2,Algeria,DZA,4868062.1,,,,10626.421875,interpolated from annual,,10626.421875,,
2016,3,2016q3,Algeria,DZA,4860946,,,,10677.94479166666,interpolated from annual,,10677.94479166666,,
2016,4,2016q4,Algeria,DZA,5306993.2,,,,10729.46770833333,interpolated from annual,,10729.46770833333,,
2017,1,2017q1,Algeria,DZA,5247101.1,,,,10780.990625,interpolated from annual,,10780.990625,10858.275,
2017,2,2017q2,Algeria,DZA,5126352.5,,,,10832.51354166666,interpolated from annual,,10832.51354166666,10858.275,
2017,3,2017q3,Algeria,DZA,5130839.8,,,,10884.03645833333,interpolated from annual,,10884.03645833333,10858.275,
2017,4,2017q4,Algeria,DZA,5567362.6,,,,10935.559375,interpolated from annual,,10935.559375,10858.275,
2018,1,2018q1,Algeria,DZA,5612577,,,,,,,,,
2018,2,2018q2,Algeria,DZA,5593713,,,,,,,,,
2018,3,2018q3,Algeria,DZA,5658705.4,,,,,,,,,
2018,4,2018q4,Algeria,DZA,5818849.6,,,,,,,,,
2019,1,2019q1,Algeria,DZA,6614780.6,,,,,,,,,
2019,2,2019q2,Algeria,DZA,5641521.1,,,,,,,,,
2019,3,2019q3,Algeria,DZA,5630435.3,,,,,,,,,
2019,4,2019q4,Algeria,DZA,5203361.9,,,,,,,,,
2020,1,2020q1,Algeria,DZA,6390831.1,,,,,,,,,
2020,2,2020q2,Algeria,DZA,4627646.3,,,,,,,,,
2020,3,2020q3,Algeria,DZA,4892625.3,,,,,,,,,
2020,4,2020q4,Algeria,DZA,4991021.3,,,,,,,,,
2021,1,2021q1,Algeria,DZA,6728562,,,,,,,,,
2021,2,2021q2,Algeria,DZA,5829862.8,,,,,,,,,
2021,3,2021q3,Algeria,DZA,6013450.7,,,,,,,,,
2021,4,2021q4,Algeria,DZA,6585951.6,,,,,,,,,
2022,1,2022q1,Algeria,DZA,7665165.5,,,,,,,,,
2022,2,2022q2,Algeria,DZA,8099761.1,,,,,,,,,
2022,3,2022q3,Algeria,DZA,8284196.2,,,,,,,,,
2022,4,2022q4,Algeria,DZA,7979300.2,,,,,,,,,
2023,1,2023q1,Algeria,DZA,8401316.800000001,,,,,,,,,
2023,2,2023q2,Algeria,DZA,7891522.6,,,,,,,,,
2023,3,2023q3,Algeria,DZA,8411021.1,,,,,,,,,
2023,4,2023q4,Algeria,DZA,7885722.6,,,,,,,,,
2024,1,2024q1,Algeria,DZA,8923300.199999999,,,,,,,,,
2004,1,2004q1,Argentina,ARG,109799,114735.703125,115092.3984375,118996.8984375,9063.321,observed quarterly,9063.321,9153.16275,9254.724,.013129503
2004,2,2004q2,Argentina,ARG,127374.703125,120856.296875,128598.8984375,117536.703125,9164.574000000001,observed quarterly,9164.574000000001,9220.87025,9254.724,.012825114
2004,3,2004q3,Argentina,ARG,122115.6015625,122605.8984375,120288,123438.6015625,9340.741,observed quarterly,9340.741,9288.57775,9254.724,.013215076
2004,4,2004q4,Argentina,ARG,125826,126917.296875,121135.8984375,125143.1015625,9450.262000000001,observed quarterly,9450.262000000001,9356.285249999999,9254.724,.013242289
2005,1,2005q1,Argentina,ARG,127675.8984375,133452.796875,123400.6015625,128751.203125,9276.218999999999,observed quarterly,9276.218999999999,9407.985167071653,9525.554,.013879707
2005,2,2005q2,Argentina,ARG,151442.90625,143781.09375,145417.09375,131763.296875,9419.949000000001,observed quarterly,9419.949000000001,9475.57765919231,9525.554,.013987686
2005,3,2005q3,Argentina,ARG,147554.90625,148141.5,128674.3984375,132497.296875,9661.683999999999,observed quarterly,9661.683999999999,9559.350246060327,9525.554,.013713686
2005,4,2005q4,Argentina,ARG,155864.5,157162.796875,130563.796875,135044.09375,9744.361999999999,observed quarterly,9744.361999999999,9659.302927675712,9525.554,.01385869
2006,1,2006q1,Argentina,ARG,160890.59375,168103.703125,133087.09375,138594.296875,9643.019,observed quarterly,9643.019,9803.467075104511,9926.045,.014372501
2006,2,2006q2,Argentina,ARG,181997.296875,172789.09375,153519.09375,140305.796875,9883.704,observed quarterly,9883.704,9903.872563239478,9926.045,.014195669
2006,3,2006q3,Argentina,ARG,182324.90625,182886.703125,140744.703125,144251.09375,10035.755,observed quarterly,10035.755,9976.247744067485,9926.045,.014373716
2006,4,2006q4,Argentina,ARG,190691.5,192124.703125,143198.5,147398.203125,10141.702,observed quarterly,10141.702,10020.59261758852,9926.045,.014533873
2007,1,2007q1,Argentina,ARG,193596.90625,202265.90625,144211.703125,150863.40625,10081.841,observed quarterly,10081.841,10036.595,,.014963875
2007,2,2007q2,Argentina,ARG,226087.59375,214793.90625,168655.09375,153994.796875,10248.69,observed quarterly,10248.69,10080.815,,.015025803
2007,3,2007q3,Argentina,ARG,228526,229226.09375,152606.40625,156110.203125,10125.035,interpolated from annual,,10125.035,,.015418238
2007,4,2007q4,Argentina,ARG,248769.59375,250694.296875,156469.203125,160974.09375,10198.448,observed quarterly,10198.448,10169.255,,.015784176
2008,1,2008q1,Argentina,ARG,258089.203125,269871.5,154180.09375,162617,10177.211,observed quarterly,10177.211,10220.28620928695,10279.805,.015978543
2008,2,2008q2,Argentina,ARG,303470.90625,288640.09375,177851.40625,163201.203125,10251.862,observed quarterly,10251.862,10264.53569892438,10279.805,.015919177
2008,3,2008q3,Argentina,ARG,295923.09375,296812.3125,161772,164453.09375,10241.244,observed quarterly,10241.244,10301.92974481872,10279.805,.016057922
2008,4,2008q4,Argentina,ARG,292163,294322.1875,153372.703125,156904.796875,10448.904,observed quarterly,10448.904,10332.46834696995,10279.805,.015016388
2009,1,2009q1,Argentina,ARG,278076.90625,290635.8125,144638.296875,151258.09375,10437.037,observed quarterly,10437.037,10355.10823223025,10401.878,.014492436
2009,2,2009q2,Argentina,ARG,312866.1875,297511.09375,157799.40625,147541.59375,10380.362,observed quarterly,10380.362,10385.6235577617,10401.878,.01421353
2009,3,2009q3,Argentina,ARG,317433.6875,318024.8125,152630,153518.40625,10318.105,observed quarterly,10318.105,10417.13566276572,10401.878,.014878547
2009,4,2009q4,Argentina,ARG,339552.5,341757.5,153805.203125,156554.703125,10472.009,observed quarterly,10472.009,10449.64454724233,10401.878,.014949825
2010,1,2010q1,Argentina,ARG,354714.5,370722.6875,152901.796875,161419.09375,10448.345,observed quarterly,10448.345,10470.26393643977,10531.926,.01544925
2010,2,2010q2,Argentina,ARG,421516.6875,401247.6875,183432.703125,168414.90625,10530.696,observed quarterly,10530.696,10502.73594736449,10531.926,.015992761
2010,3,2010q3,Argentina,ARG,428208.59375,429257.90625,167141.59375,169345,10568.727,observed quarterly,10568.727,10548.16200546236,10531.926,.016023217
2010,4,2010q4,Argentina,ARG,457281.09375,460492.59375,167047.5,171344.703125,10579.934,observed quarterly,10579.934,10606.54211073338,10531.926,.016195253
2011,1,2011q1,Argentina,ARG,472206.8125,493714.5,165581.40625,175419.796875,10573.457,observed quarterly,10573.457,10697.42929856321,10765.734,.01659058
2011,2,2011q2,Argentina,ARG,559281,532795.1875,191583.203125,177561.40625,10809.713,observed quarterly,10809.713,10755.98734858277,10765.734,.016426098
2011,3,2011q3,Argentina,ARG,562621.8125,563859.875,177854.296875,179024,10863.204,observed quarterly,10863.204,10795.01302500978,10765.734,.016479852
2011,4,2011q4,Argentina,ARG,584914.5,588654.5,175762.59375,178776.40625,10816.563,observed quarterly,10816.563,10814.50632784425,10765.734,.016528023
2012,1,2012q1,Argentina,ARG,586389.875,612676.375,168171.5,177050.90625,10654.741,observed quarterly,10654.741,10811.70562800087,10843.566,.016617101
2012,2,2012q2,Argentina,ARG,662774.5,631356.125,182709.59375,170981.5,10820.109,observed quarterly,10820.109,10831.1588178798,10843.566,.015802197
2012,3,2012q3,Argentina,ARG,676206.875,677248.5,175865.40625,176307.796875,10962.176,observed quarterly,10962.176,10853.29259493946,10843.566,.016083285
2012,4,2012q4,Argentina,ARG,712542.5,716632.8125,176739.5,179145.90625,10937.238,observed quarterly,10937.238,10878.10695917987,10843.566,.016379446
2013,1,2013q1,Argentina,ARG,722245.1875,754458.5,169271.40625,179020.90625,10732.476,observed quarterly,10732.476,10904.98282789226,10942.848,.016680298
2013,2,2013q2,Argentina,ARG,846952.6875,807387.375,194121.703125,180269.59375,10970.366,observed quarterly,10970.366,10929.80188398739,10942.848,.016432414
2013,3,2013q3,Argentina,ARG,859136.625,860871.625,180364.703125,181332,10971.964,observed quarterly,10971.964,10955.25752804756,10942.848,.01652685
2013,4,2013q4,Argentina,ARG,919973.875,925591.125,176649.296875,179784.59375,11096.587,observed quarterly,11096.587,10981.34976007279,10942.848,.016201792
2014,1,2014q1,Argentina,ARG,979412.1875,1023474.125,167766.5,177026.5,10981.585,observed quarterly,10981.585,10999.45861474675,11047.223,.016120305
2014,2,2014q2,Argentina,ARG,1175657.375,1121756.75,190144.203125,175825.90625,10988.165,observed quarterly,10988.165,11025.53192283539,11047.223,.016001388
2014,3,2014q3,Argentina,ARG,1171375.75,1173932.125,172719.90625,174274.296875,10995.095,observed quarterly,10995.095,11060.25965404432,11047.223,.015850186
2014,4,2014q4,Argentina,ARG,1252641,1259923.5,171675.40625,175179.40625,11224.048,observed quarterly,11224.048,11103.64180837354,11047.223,.015607507
2015,1,2015q1,Argentina,ARG,1273173.375,1329921.625,168187.5,177629.40625,11060.21,observed quarterly,11060.21,11155.76341666667,,.01606022
2015,2,2015q2,Argentina,ARG,1487869.75,1420038,197809,182288.703125,11123.008,observed quarterly,11123.008,11199.17958333333,,.016388437
2015,3,2015q3,Argentina,ARG,1555432.75,1558041.875,179570.296875,181837.703125,11242.59575,interpolated from annual,,11242.59575,,.016173996
2015,4,2015q4,Argentina,ARG,1638035.125,1646509.25,175920.40625,179731.40625,11286.01191666667,interpolated from annual,,11286.01191666667,,.015925149
2016,1,2016q1,Argentina,ARG,1751661.25,1829889,169413,178383.5,11329.42808333333,interpolated from annual,,11329.42808333333,,.015745146
2016,2,2016q2,Argentina,ARG,2103639,2010222.25,190175.796875,175272.40625,11328.41,observed quarterly,11328.41,11372.84425,,.015471933
2016,3,2016q3,Argentina,ARG,2131907.25,2136444.5,173595.59375,175818.90625,11461.9,observed quarterly,11461.9,11416.26041666667,,.015339421
2016,4,2016q4,Argentina,ARG,2240952,2251603.75,173293.40625,177003,11449.922,observed quarterly,11449.922,11459.67658333333,,.015458883
2017,1,2017q1,Argentina,ARG,2310219.5,2412568,170361.203125,178638.296875,11323.485,observed quarterly,11323.485,11502.74257654538,11568.217,.015775912
2017,2,2017q2,Argentina,ARG,2639552,2523186.25,194600.40625,180333.703125,11384.845,observed quarterly,11384.845,11546.15742155104,11568.217,.015839804
2017,3,2017q3,Argentina,ARG,2779105.5,2783645,180280.09375,182813.90625,11683.074,observed quarterly,11683.074,11589.92442250283,11568.217,.015647758
2017,4,2017q4,Argentina,ARG,2931351.5,2940829.25,181148.203125,184604,11881.463,observed quarterly,11881.463,11634.04357940074,11568.217,.015537144
2018,1,2018q1,Argentina,ARG,3114447.5,3250960,176831.09375,183435.296875,11733.05,observed quarterly,11733.05,11663.62750255044,11744.699,.015634067
2018,2,2018q2,Argentina,ARG,3607848.5,3450760.75,186857.09375,175739.09375,11639.022,observed quarterly,11639.022,11707.69174650761,11744.699,.015099129
2018,3,2018q3,Argentina,ARG,3819069,3827467,174025.40625,175442.296875,11816.66,observed quarterly,11816.66,11766.73112197859,11744.699,.014847029
2018,4,2018q4,Argentina,ARG,4203445.5,4215622.5,169663.90625,172760.703125,11790.064,observed quarterly,11790.064,11840.74562896337,11744.699,.014653075
2019,1,2019q1,Argentina,ARG,4371027,4567607.5,166462.203125,173109.5,11938.18,observed quarterly,11938.18,12106.04455936164,12041.135,.014500493
2019,2,2019q2,Argentina,ARG,5308389.5,5084818,187946.09375,174005.203125,12059.075,observed quarterly,12059.075,12181.24732545792,12041.135,.014429399
2019,3,2019q3,Argentina,ARG,5575971,5593318,170975.203125,174238.40625,11930.515,observed quarterly,11930.515,12078.73638304814,12041.135,.014604433
2019,4,2019q4,Argentina,ARG,6303056.5,6312701,167840.296875,171870.703125,12236.77,observed quarterly,12236.77,11798.51173213231,12041.135,.01404543
2020,1,2020q1,Argentina,ARG,6249997,6515418.5,158097.296875,163651.09375,12034.605,observed quarterly,12034.605,11046.52359850877,10936.539,.013598377
2020,2,2020q2,Argentina,ARG,6006340.5,5737673,152345,140822.796875,9543.097,observed quarterly,9543.097,10777.7763275475,10936.539,.014756509
