country,country_name,year,quarter,time,period,realGDP_empl,y
AUS,Australia,1983,3,1983.5,1983-Q3,0.027986549,-3.5760312770896925
AUS,Australia,1983,4,1983.75,1983-Q4,0.028050546,-3.5737471819622355
AUS,Australia,1984,1,1984.0,1984-Q1,0.028810926,-3.5470005887847367
AUS,Australia,1984,2,1984.25,1984-Q2,0.028629687,-3.553311092520069
AUS,Australia,1984,3,1984.5,1984-Q3,0.028733997,-3.5496742927995455
AUS,Australia,1984,4,1984.75,1984-Q4,0.028628672,-3.5533465458588593
AUS,Australia,1985,1,1985.0,1985-Q1,0.029138207,-3.5357050106503696
AUS,Australia,1985,2,1985.25,1985-Q2,0.029488165,-3.523766282573851
AUS,Australia,1985,3,1985.5,1985-Q3,0.029441005,-3.5253668484758625
AUS,Australia,1985,4,1985.75,1985-Q4,0.028830662,-3.5463158054032924
AUS,Australia,1986,1,1986.0,1986-Q1,0.029011143,-3.540075281418167
AUS,Australia,1986,2,1986.25,1986-Q2,0.028398056,-3.5614345868620583
AUS,Australia,1986,3,1986.5,1986-Q3,0.028516339,-3.5572780577345755
AUS,Australia,1986,4,1986.75,1986-Q4,0.028675938,-3.551696905080611
AUS,Australia,1987,1,1987.0,1987-Q1,0.029125445,-3.536143088243038
AUS,Australia,1987,2,1987.25,1987-Q2,0.029196952,-3.5336909587178877
AUS,Australia,1987,3,1987.5,1987-Q3,0.029566649,-3.521108275854621
AUS,Australia,1987,4,1987.75,1987-Q4,0.029836746,-3.512014557850143
AUS,Australia,1988,1,1988.0,1988-Q1,0.029786909,-3.5136862772912405
AUS,Australia,1988,2,1988.25,1988-Q2,0.02941107,-3.526384144895118
AUS,Australia,1988,3,1988.5,1988-Q3,0.029483886,-3.523911402166436
AUS,Australia,1988,4,1988.75,1988-Q4,0.029473232,-3.524272817394228
AUS,Australia,1989,1,1989.0,1989-Q1,0.029728737,-3.5156411252156006
AUS,Australia,1989,2,1989.25,1989-Q2,0.02973628,-3.5153874298356613
AUS,Australia,1989,3,1989.5,1989-Q3,0.029743835,-3.5151333953557136
AUS,Australia,1989,4,1989.75,1989-Q4,0.029277889,-3.530922689482675
AUS,Australia,1990,1,1990.0,1990-Q1,0.029781504,-3.5138677493077886
AUS,Australia,1990,2,1990.25,1990-Q2,0.029429957,-3.525742177831945
AUS,Australia,1990,3,1990.5,1990-Q3,0.029350998,-3.5284287298789794
AUS,Australia,1990,4,1990.75,1990-Q4,0.029562473,-3.5212495260496413
AUS,Australia,1991,1,1991.0,1991-Q1,0.029858051,-3.511300760267262
AUS,Australia,1991,2,1991.25,1991-Q2,0.029763645,-3.514467596678579
AUS,Australia,1991,3,1991.5,1991-Q3,0.030129442,-3.5022524457591797
AUS,Australia,1991,4,1991.75,1991-Q4,0.030088203,-3.503622110961031
AUS,Australia,1992,1,1992.0,1992-Q1,0.03059008,-3.487079505589008
AUS,Australia,1992,2,1992.25,1992-Q2,0.030609366,-3.4864492384248766
AUS,Australia,1992,3,1992.5,1992-Q3,0.030804822,-3.4800840428150437
AUS,Australia,1992,4,1992.75,1992-Q4,0.031508572,-3.4574956431862547
AUS,Australia,1993,1,1993.0,1993-Q1,0.032056499,-3.4402553392608404
AUS,Australia,1993,2,1993.25,1993-Q2,0.032086454,-3.4393213316800653
AUS,Australia,1993,3,1993.5,1993-Q3,0.031899963,-3.445150429066619
AUS,Australia,1993,4,1993.75,1993-Q4,0.032003924,-3.441896758700241
AUS,Australia,1994,1,1994.0,1994-Q1,0.032698579,-3.4204236576806464
AUS,Australia,1994,2,1994.25,1994-Q2,0.032591715,-3.4236971640130927
AUS,Australia,1994,3,1994.5,1994-Q3,0.032403026,-3.429503465483172
AUS,Australia,1994,4,1994.75,1994-Q4,0.032414526,-3.4291486233218804
AUS,Australia,1995,1,1995.0,1995-Q1,0.032441396,-3.428320017368599
AUS,Australia,1995,2,1995.25,1995-Q2,0.0319985,-3.442066252281078
AUS,Australia,1995,3,1995.5,1995-Q3,0.032529306,-3.4256138728775425
AUS,Australia,1995,4,1995.75,1995-Q4,0.03223164,-3.4348067001800366
AUS,Australia,1996,1,1996.0,1996-Q1,0.033041988,-3.4099761626479457
AUS,Australia,1996,2,1996.25,1996-Q2,0.033040643,-3.4100168692596475
AUS,Australia,1996,3,1996.5,1996-Q3,0.03315362,-3.406603367708899
AUS,Australia,1996,4,1996.75,1996-Q4,0.033333745,-3.4011850317384162
AUS,Australia,1997,1,1997.0,1997-Q1,0.033817843,-3.386766716374754
AUS,Australia,1997,2,1997.25,1997-Q2,0.034629788,-3.3630410424462043
AUS,Australia,1997,3,1997.5,1997-Q3,0.034558881,-3.3650907140426987
AUS,Australia,1997,4,1997.75,1997-Q4,0.034643605,-3.362642130264056
AUS,Australia,1998,1,1998.0,1998-Q1,0.035146907,-3.3482186589072893
AUS,Australia,1998,2,1998.25,1998-Q2,0.035082784,-3.350044753167588
AUS,Australia,1998,3,1998.5,1998-Q3,0.035532467,-3.33730843707876
AUS,Australia,1998,4,1998.75,1998-Q4,0.0358086,-3.3295671909608315
AUS,Australia,1999,1,1999.0,1999-Q1,0.036353711,-3.314458989429474
AUS,Australia,1999,2,1999.25,1999-Q2,0.036116865,-3.320995348220105
AUS,Australia,1999,3,1999.5,1999-Q3,0.036282189,-3.316428319281932
AUS,Australia,1999,4,1999.75,1999-Q4,0.036435664,-3.312207203791012
AUS,Australia,2000,1,2000.0,2000-Q1,0.036861166,-3.3005966940340508
AUS,Australia,2000,2,2000.25,2000-Q2,0.036577627,-3.3083185096381538
AUS,Australia,2000,3,2000.5,2000-Q3,0.036238465,-3.3176341552165622
AUS,Australia,2000,4,2000.75,2000-Q4,0.036165256,-3.3196564000387268
AUS,Australia,2001,1,2001.0,2001-Q1,0.036827698,-3.301505053872554
AUS,Australia,2001,2,2001.25,2001-Q2,0.036689103,-3.305275488992301
AUS,Australia,2001,3,2001.5,2001-Q3,0.037007701,-3.2966292528598897
AUS,Australia,2001,4,2001.75,2001-Q4,0.037221573,-3.2908667664364444
AUS,Australia,2002,1,2002.0,2002-Q1,0.037622135,-3.2801627049917665
AUS,Australia,2002,2,2002.25,2002-Q2,0.037953123,-3.271403486036221
AUS,Australia,2002,3,2002.5,2002-Q3,0.037761729,-3.276459149558215
AUS,Australia,2002,4,2002.75,2002-Q4,0.037629504,-3.2799668554362893
AUS,Australia,2003,1,2003.0,2003-Q1,0.037660379,-3.279146692075676
AUS,Australia,2003,2,2003.25,2003-Q2,0.03768681,-3.2784451131200463
AUS,Australia,2003,3,2003.5,2003-Q3,0.038230002,-3.264134678958881
AUS,Australia,2003,4,2003.75,2003-Q4,0.038529158,-3.256339973684333
AUS,Australia,2004,1,2004.0,2004-Q1,0.039003316,-3.24410861082594
AUS,Australia,2004,2,2004.25,2004-Q2,0.038898952,-3.2467879695946844
AUS,Australia,2004,3,2004.5,2004-Q3,0.039037269,-3.2432384737775757
AUS,Australia,2004,4,2004.75,2004-Q4,0.038738456,-3.2509224772441034
AUS,Australia,2005,1,2005.0,2005-Q1,0.038938828,-3.2457633770770546
AUS,Australia,2005,2,2005.25,2005-Q2,0.038596671,-3.2545892497538547
AUS,Australia,2005,3,2005.5,2005-Q3,0.038761497,-3.250327870414371
AUS,Australia,2005,4,2005.75,2005-Q4,0.038854741,-3.2479251761519246
AUS,Australia,2006,1,2006.0,2006-Q1,0.039032456,-3.243361773814974
AUS,Australia,2006,2,2006.25,2006-Q2,0.038629845,-3.253730114737573
AUS,Australia,2006,3,2006.5,2006-Q3,0.038784139,-3.249743904589565
AUS,Australia,2006,4,2006.75,2006-Q4,0.03895193,-3.245426957186942
AUS,Australia,2007,1,2007.0,2007-Q1,0.039530352,-3.2306864970837936
AUS,Australia,2007,2,2007.25,2007-Q2,0.039248724,-3.237836344836307
AUS,Australia,2007,3,2007.5,2007-Q3,0.039407294,-3.233804352908566
AUS,Australia,2007,4,2007.75,2007-Q4,0.039153326,-3.2402699048536943
AUS,Australia,2008,1,2008.0,2008-Q1,0.039500978,-3.231429847887901
AUS,Australia,2008,2,2008.25,2008-Q2,0.039232317,-3.2382544585623725
AUS,Australia,2008,3,2008.5,2008-Q3,0.039280333,-3.2370313179350654
AUS,Australia,2008,4,2008.75,2008-Q4,0.038917165,-3.246319866044039
AUS,Australia,2009,1,2009.0,2009-Q1,0.039614525,-3.2285594350444913
AUS,Australia,2009,2,2009.25,2009-Q2,0.03972704,-3.225723214825646
AUS,Australia,2009,3,2009.5,2009-Q3,0.039809477,-3.2236502794588704
AUS,Australia,2009,4,2009.75,2009-Q4,0.039773885,-3.224544737835056
AUS,Australia,2010,1,2010.0,2010-Q1,0.040023074,-3.2182991411822064
AUS,Australia,2010,2,2010.25,2010-Q2,0.039923418,-3.220792209961678
AUS,Australia,2010,3,2010.5,2010-Q3,0.039900467,-3.2213672508941618
AUS,Australia,2010,4,2010.75,2010-Q4,0.039736126,-3.2254945302539895
AUS,Australia,2011,1,2011.0,2011-Q1,0.039818861,-3.2234145844719064
AUS,Australia,2011,2,2011.25,2011-Q2,0.040077034,-3.2169518269398187
AUS,Australia,2011,3,2011.5,2011-Q3,0.040557504,-3.2050344600543164
AUS,Australia,2011,4,2011.75,2011-Q4,0.040755447,-3.200165779516475
AUS,Australia,2012,1,2012.0,2012-Q1,0.041331206,-3.186137471111655
AUS,Australia,2012,2,2012.25,2012-Q2,0.041195303,-3.1894310339800724
AUS,Australia,2012,3,2012.5,2012-Q3,0.041440018,-3.1835082466680693
AUS,Australia,2012,4,2012.75,2012-Q4,0.041343629,-3.1858369443529746
AUS,Australia,2013,1,2013.0,2013-Q1,0.041730531,-3.1765222598011147
AUS,Australia,2013,2,2013.25,2013-Q2,0.04153518,-3.181214500006018
AUS,Australia,2013,3,2013.5,2013-Q3,0.041967083,-3.1708697060772715
AUS,Australia,2013,4,2013.75,2013-Q4,0.042198479,-3.1653711012437515
AUS,Australia,2014,1,2014.0,2014-Q1,0.042708524,-3.1533567533772957
AUS,Australia,2014,2,2014.25,2014-Q2,0.042512219,-3.157963738491309
AUS,Australia,2014,3,2014.5,2014-Q3,0.042695712,-3.153656785335807
AUS,Australia,2014,4,2014.75,2014-Q4,0.042610981,-3.155643288970727
AUS,Australia,2015,1,2015.0,2015-Q1,0.042981349,-3.14698900156884
AUS,Australia,2015,2,2015.25,2015-Q2,0.042598207,-3.1559431157944657
AUS,Australia,2015,3,2015.5,2015-Q3,0.043027274,-3.145921085288758
AUS,Australia,2015,4,2015.75,2015-Q4,0.042583235,-3.156294647766751
AUS,Australia,2016,1,2016.0,2016-Q1,0.04315472,-3.1429634815716296
AUS,Australia,2016,2,2016.25,2016-Q2,0.043093801,-3.144376120522982
AUS,Australia,2016,3,2016.5,2016-Q3,0.043260511,-3.1405150462292544
AUS,Australia,2016,4,2016.75,2016-Q4,0.043399081,-3.1373170132151813
AUS,Australia,2017,1,2017.0,2017-Q1,0.043685507,-3.1307388794850732
AUS,Australia,2017,2,2017.25,2017-Q2,0.043233104,-3.1411487808908767
AUS,Australia,2017,3,2017.5,2017-Q3,0.043441448,-3.136341270578667
AUS,Australia,2017,4,2017.75,2017-Q4,0.043064922,-3.1450464879582447
AUS,Australia,2018,1,2018.0,2018-Q1,0.043444954,-3.136260567501518
AUS,Australia,2018,2,2018.25,2018-Q2,0.043333508,-3.138829086433557
AUS,Australia,2018,3,2018.5,2018-Q3,0.043466169,-3.135772367609742
AUS,Australia,2018,4,2018.75,2018-Q4,0.043011293,-3.1462925698622697
AUS,Australia,2019,1,2019.0,2019-Q1,0.043365527,-3.1380904622618875
AUS,Australia,2019,2,2019.25,2019-Q2,0.042971261,-3.147223735570433
AUS,Australia,2019,3,2019.5,2019-Q3,0.043141004,-3.143281365227499
AUS,Australia,2019,4,2019.75,2019-Q4,0.043010175,-3.1463185633735655
AUS,Australia,2020,1,2020.0,2020-Q1,0.043035764,-3.145723788046531
AUS,Australia,2020,2,2020.25,2020-Q2,0.042216241,-3.164950274159041
AUS,Australia,2020,3,2020.5,2020-Q3,0.042983722,-3.1469337930993304
AUS,Australia,2020,4,2020.75,2020-Q4,0.043330163,-3.138906281409562
AUS,Australia,2021,1,2021.0,2021-Q1,0.044024698,-3.12300448436218
AUS,Australia,2021,2,2021.25,2021-Q2,0.043743953,-3.1294018928742404
AUS,Australia,2021,3,2021.5,2021-Q3,0.043445881,-3.1362392303835116
AUS,Australia,2021,4,2021.75,2021-Q4,0.044401381,-3.1144847064240615
AUS,Australia,2022,1,2022.0,2022-Q1,0.044096727,-3.12136971697068
AUS,Australia,2022,2,2022.25,2022-Q2,0.043733023,-3.1296517872020204
AUS,Australia,2022,3,2022.5,2022-Q3,0.043636873,-3.1318527750300325
AUS,Australia,2022,4,2022.75,2022-Q4,0.04328097,-3.1400422324954302
AUS,Australia,2023,1,2023.0,2023-Q1,0.043499142,-3.135014065219953
AUS,Australia,2023,2,2023.25,2023-Q2,0.043081973,-3.1446506292282774
AUS,Australia,2023,3,2023.5,2023-Q3,0.0432088,-3.141711100773151
AUS,Australia,2023,4,2023.75,2023-Q4,0.042686749,-3.153866734778068
AUS,Australia,2024,1,2024.0,2024-Q1,0.043077819,-3.144747054716473
AUS,Australia,2024,2,2024.25,2024-Q2,0.042484801,-3.158608890543722
AUT,Austria,1995,1,1995.0,1995-Q1,0.014634303,-4.224386985527596
AUT,Austria,1995,2,1995.25,1995-Q2,0.014788281,-4.213920236194858
AUT,Austria,1995,3,1995.5,1995-Q3,0.014907874,-4.205865749238781
AUT,Austria,1995,4,1995.75,1995-Q4,0.015083889,-4.194128058403874
AUT,Austria,1996,1,1996.0,1996-Q1,0.015258038,-4.182648832820412
AUT,Austria,1996,2,1996.25,1996-Q2,0.01537019,-4.175325359764382
AUT,Austria,1996,3,1996.5,1996-Q3,0.015500423,-4.16688796510673
AUT,Austria,1996,4,1996.75,1996-Q4,0.015509893,-4.16627720059247
AUT,Austria,1997,1,1997.0,1997-Q1,0.015707077,-4.153643903860386
AUT,Austria,1997,2,1997.25,1997-Q2,0.01567548,-4.155657570922427
AUT,Austria,1997,3,1997.5,1997-Q3,0.015796732,-4.147952195785654
AUT,Austria,1997,4,1997.75,1997-Q4,0.015929516,-4.1395815384470485
AUT,Austria,1998,1,1998.0,1998-Q1,0.016068777,-4.13087720667144
AUT,Austria,1998,2,1998.25,1998-Q2,0.016251666,-4.119559852384599
AUT,Austria,1998,3,1998.5,1998-Q3,0.016242921,-4.120098095890271
AUT,Austria,1998,4,1998.75,1998-Q4,0.01633225,-4.114613598269934
AUT,Austria,1999,1,1999.0,1999-Q1,0.016316175,-4.1155983319162885
AUT,Austria,1999,2,1999.25,1999-Q2,0.016444603,-4.107757940708832
AUT,Austria,1999,3,1999.5,1999-Q3,0.016534785,-4.102288935354417
AUT,Austria,1999,4,1999.75,1999-Q4,0.016844565,-4.083727226143612
AUT,Austria,2000,1,2000.0,2000-Q1,0.016851578,-4.083310976717008
AUT,Austria,2000,2,2000.25,2000-Q2,0.016922481,-4.0791123043476905
AUT,Austria,2000,3,2000.5,2000-Q3,0.017022273,-4.073232615987594
AUT,Austria,2000,4,2000.75,2000-Q4,0.017212646,-4.0621109327556395
AUT,Austria,2001,1,2001.0,2001-Q1,0.017283693,-4.057991823162307
AUT,Austria,2001,2,2001.25,2001-Q2,0.017028106,-4.0728900059944975
AUT,Austria,2001,3,2001.5,2001-Q3,0.017021596,-4.073272388200329
AUT,Austria,2001,4,2001.75,2001-Q4,0.017120574,-4.06747438079321
AUT,Austria,2002,1,2002.0,2002-Q1,0.01768554,-4.0350079224397115
AUT,Austria,2002,2,2002.25,2002-Q2,0.017475037,-4.046981873554061
AUT,Austria,2002,3,2002.5,2002-Q3,0.017385304,-4.052130027336399
AUT,Austria,2002,4,2002.75,2002-Q4,0.017365489,-4.053270433090448
AUT,Austria,2003,1,2003.0,2003-Q1,0.01733413,-4.055077888586557
AUT,Austria,2003,2,2003.25,2003-Q2,0.017207779,-4.062393729962963
AUT,Austria,2003,3,2003.5,2003-Q3,0.017219534,-4.061710841905053
AUT,Austria,2003,4,2003.75,2003-Q4,0.01740025,-4.051270705048778
AUT,Austria,2004,1,2004.0,2004-Q1,0.018365907,-3.9972592135082987
AUT,Austria,2004,2,2004.25,2004-Q2,0.018196719,-4.0065139758761035
AUT,Austria,2004,3,2004.5,2004-Q3,0.018131724,-4.010092167726865
AUT,Austria,2004,4,2004.75,2004-Q4,0.018358242,-3.99767665000826
AUT,Austria,2005,1,2005.0,2005-Q1,0.018543025,-3.9876615714201438
AUT,Austria,2005,2,2005.25,2005-Q2,0.018365363,-3.9972888340468775
AUT,Austria,2005,3,2005.5,2005-Q3,0.018014655,-4.016569685673201
AUT,Austria,2005,4,2005.75,2005-Q4,0.018474452,-3.9913664742927955
AUT,Austria,2006,1,2006.0,2006-Q1,0.018830247,-3.9722908190332022
AUT,Austria,2006,2,2006.25,2006-Q2,0.018523023,-3.9887408341428134
AUT,Austria,2006,3,2006.5,2006-Q3,0.018246148,-4.003801289724876
AUT,Austria,2006,4,2006.75,2006-Q4,0.018755468,-3.9762699424138415
AUT,Austria,2007,1,2007.0,2007-Q1,0.019018533,-3.9623413541770525
AUT,Austria,2007,2,2007.25,2007-Q2,0.01886585,-3.970401869597066
AUT,Austria,2007,3,2007.5,2007-Q3,0.01853306,-3.988199114703905
AUT,Austria,2007,4,2007.75,2007-Q4,0.018787514,-3.9745627787270075
AUT,Austria,2008,1,2008.0,2008-Q1,0.019260686,-3.949689255385607
AUT,Austria,2008,2,2008.25,2008-Q2,0.018816672,-3.973011993617946
AUT,Austria,2008,3,2008.5,2008-Q3,0.018539662,-3.9878429498628236
AUT,Austria,2008,4,2008.75,2008-Q4,0.018293882,-4.001188591971019
AUT,Austria,2009,1,2009.0,2009-Q1,0.018337669,-3.998797919468252
AUT,Austria,2009,2,2009.25,2009-Q2,0.018069116,-4.013551096437974
AUT,Austria,2009,3,2009.5,2009-Q3,0.017944807,-4.0204545095253845
AUT,Austria,2009,4,2009.75,2009-Q4,0.018077051,-4.013112045728809
AUT,Austria,2010,1,2010.0,2010-Q1,0.018243659,-4.003937711383882
AUT,Austria,2010,2,2010.25,2010-Q2,0.01826233,-4.002914810641322
AUT,Austria,2010,3,2010.5,2010-Q3,0.018125456,-4.010437919937182
AUT,Austria,2010,4,2010.75,2010-Q4,0.018432846,-3.9936210970844574
AUT,Austria,2011,1,2011.0,2011-Q1,0.018896854,-3.9687598257981707
AUT,Austria,2011,2,2011.25,2011-Q2,0.018615255,-3.9837738731211454
AUT,Austria,2011,3,2011.5,2011-Q3,0.018393843,-3.9957392899300337
AUT,Austria,2011,4,2011.75,2011-Q4,0.018749205,-3.9766039274646228
AUT,Austria,2012,1,2012.0,2012-Q1,0.018942602,-3.966341819456337
AUT,Austria,2012,2,2012.25,2012-Q2,0.018611142,-3.98399484535312
AUT,Austria,2012,3,2012.5,2012-Q3,0.018450636,-3.9926564375450155
AUT,Austria,2012,4,2012.75,2012-Q4,0.018532703,-3.988218377763457
AUT,Austria,2013,1,2013.0,2013-Q1,0.018735826,-3.9773177591041438
AUT,Austria,2013,2,2013.25,2013-Q2,0.01842645,-3.9939681465812353
AUT,Austria,2013,3,2013.5,2013-Q3,0.01824511,-4.0038581800628466
AUT,Austria,2013,4,2013.75,2013-Q4,0.01856447,-3.986505740104263
AUT,Austria,2014,1,2014.0,2014-Q1,0.018787591,-3.9745586802687334
