country,iso3,numeric_code,year,quarter,t,GDP,GDP_usd_pa,GDP_usd_eop,empl,empl_source,realGDP_empl,realGDP_usd_pa_empl,realGDP_usd_eop_empl,baseyear,baseyear_str,er_iso3,NER_pa_base,NER_eop_base,source,empl_q,empl_interp,empl_annual,country_ilo,empl_q_raw,sfe,has_fe,nq_fe,gap_year,fill_incons,q_discard,q_unscreen,dev_q
Albania,ALB,008,2011,3,2011q3,320283.47135,3081.525332895032,3079.648762980769,1169.620346092974,filled: annual level + quarter FE,.2738354137048676,.0026346372506161,.0026330328240853,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1169.620346092974,1159.471,Albania,,.0087455423722461,1,52,0,0,0,0,
Albania,ALB,008,2011,4,2011q4,332252.609843,3196.683331288284,3194.736633105769,1162.795879420351,filled: annual level + quarter FE,.2857359711393426,.0027491354139317,.0027474612609552,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,,1162.795879420351,1159.471,Albania,,.0028936827660035,1,52,0,0,0,0,
Albania,ALB,008,2012,1,2012q1,290012.63487,2790.282237933356,2788.583027596153,1144.004,observed quarterly,.2535066615763581,.0024390493721467,.0024375640536188,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1144.004,1119.718938290562,1133.846,Albania,1144.004,-.01250748439498,1,52,0,0,0,0,.0089189958405556
Albania,ALB,008,2012,2,2012q2,340268.114816,3273.802458060998,3271.808796307692,1160.945,observed quarterly,.2930958097205294,.0028199462145588,.0028182289396205,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1160.945,1134.796624608911,1133.846,Albania,1160.945,.0008682592567303,1,52,0,0,0,0,.0236189350248366
Albania,ALB,008,2012,3,2012q3,324695.630121,3123.975787700843,3122.073366548077,1105.871,observed quarterly,.2936107648369475,.0028249007232316,.0028231804311245,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1105.871,1143.771039496576,1133.846,Albania,1105.871,.0087455423722461,1,52,0,0,0,0,-.0249821338448889
Albania,ALB,008,2012,4,2012q4,334241.745858,3215.821293653185,3213.862940942307,1124.374,observed quarterly,.2972691878841026,.0028600993029483,.0028583575758087,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1124.374,1137.097397603948,1133.846,Albania,1124.374,.0028936827660035,1,52,0,0,0,0,-.0083889572751598
Albania,ALB,008,2013,1,2013q1,295244.264236,2840.617019043648,2838.887156115385,1092.265,observed quarterly,.27030460944551,.0026006665223583,.0025990827831299,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1092.265,1011.380798785581,1024.141,Albania,1092.265,-.01250748439498,1,52,0,0,0,0,.0643993094241302
Albania,ALB,008,2013,2,2013q2,350362.146646,3370.919598274589,3368.866794673076,1024.576,observed quarterly,.3419581823564089,.003290063009747,.0032880594457347,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1024.576,1024.99964715102,1024.141,Albania,1024.576,.0008682592567303,1,52,0,0,0,0,.0004246560228054
Albania,ALB,008,2013,3,2013q3,316091.490285,3041.193261457297,3039.341252740384,995.754,observed quarterly,.3174393377129291,.00305416123004,.0030523013241628,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,995.754,1033.105744661148,1024.141,Albania,995.754,.0087455423722461,1,52,0,0,0,0,-.0281092523065802
Albania,ALB,008,2013,4,2013q4,340438.034394,3275.437295731374,3273.442638403846,983.968,observed quarterly,.3459848637293083,.0033288046925625,.0033267775358587,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,983.968,1027.077809402252,1024.141,Albania,983.968,.0028936827660035,1,52,0,0,0,0,-.0400161152345709
Albania,ALB,008,2014,1,2014q1,299961.103134,2885.998875603732,2884.241376288461,932.008,observed quarterly,.3218439145736946,.0030965387374397,.0030946530247471,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,932.008,1011.37388600151,1024.134,Albania,932.008,-.01250748439498,1,52,0,0,0,0,-.0942612580733733
Albania,ALB,008,2014,2,2014q2,351983.119844,3386.515376453608,3384.453075423076,1036.172,observed quarterly,.3396956488343634,.0032682946233382,.003266304315715,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1036.172,1024.99264128217,1024.134,Albania,1036.172,.0008682592567303,1,52,0,0,0,0,.011685775792019
Albania,ALB,008,2014,3,2014q3,331947.612668,3193.748879137936,3191.803967961538,1070.287,observed quarterly,.3101482244183102,.0029840116521437,.0029821944655607,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1070.287,1033.09868338715,1024.134,Albania,1070.287,.0087455423722461,1,52,0,0,0,0,.044079459376199
Albania,ALB,008,2014,4,2014q4,341350.333653,3284.214749235111,3282.214746663461,1058.07,observed quarterly,.3226160212963226,.0031039673643853,.0031020771278493,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1058.07,1027.07078932917,1024.134,Albania,1058.07,.0028936827660035,1,52,0,0,0,0,.0325991163873748
Albania,ALB,008,2015,1,2015q1,305419.47089,2938.515162021743,2936.725681634615,1060.661,observed quarterly,.2879520137819718,.0027704565002595,.0027687693632882,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1060.661,1068.481382754567,1081.962,Albania,1060.661,-.01250748439498,1,52,0,0,0,0,-.0198837609783288
Albania,ALB,008,2015,2,2015q2,359283.743426,3456.756455142554,3454.651379096154,1075.775,observed quarterly,.3339766618726035,.0032132708560271,.0032113140564673,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1075.775,1082.869124691631,1081.962,Albania,1075.775,.0008682592567303,1,52,0,0,0,0,-.0057347275928731
Albania,ALB,008,2015,3,2015q3,341347.891936,3284.191256880792,3282.191268615385,1089.653,observed quarterly,.313262930433817,.0030139789977918,.0030121435618636,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1089.653,1091.432876630332,1081.962,Albania,1089.653,.0087455423722461,1,52,0,0,0,0,.0070832372738304
Albania,ALB,008,2015,4,2015q4,348596.218589,3353.929174070747,3351.886717201923,1101.759,observed quarterly,.3163997013766168,.0030441586354827,.003042304820929,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1101.759,1085.064615923471,1081.962,Albania,1101.759,.0028936827660035,1,52,0,0,0,0,.0181319338692342
Albania,ALB,008,2016,1,2016q1,316703.853974,3047.084961745934,3045.229365134615,1114.563,observed quarterly,.2841506976043526,.0027338831109107,.0027322182461957,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1114.563,1136.61279502008,1150.953,Albania,1114.563,-.01250748439498,1,52,0,0,0,0,-.0321278950116609
Albania,ALB,008,2016,2,2016q2,370718.443635,3566.77249255957,3564.600419567307,1148.497,observed quarterly,.3227857309466198,.00310560018229,.0031037089514098,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1148.497,1151.91796724026,1150.953,Albania,1148.497,.0008682592567303,1,52,0,0,0,0,-.0021361638078096
Albania,ALB,008,2016,3,2016q3,349368.196293,3361.35655969661,3359.309579740384,1182.211,observed quarterly,.295521016377787,.002843279718846,.0028415482344018,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1182.211,1161.027784391975,1150.953,Albania,1182.211,.0087455423722461,1,52,0,0,0,0,.0267961192023507
Albania,ALB,008,2016,4,2016q4,362762.776573,3490.229080911452,3488.103620894231,1158.541,observed quarterly,.3131203613622651,.0030126073060094,.0030107727054064,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1158.541,1154.253453347683,1150.953,Albania,1158.541,.0028936827660035,1,52,0,0,0,0,.0065711600066722
Albania,ALB,008,2017,1,2017q1,330280.202016,3177.706314896891,3175.771173230769,1159.465,observed quarterly,.284855689491274,.0027406660096656,.0027389970143392,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1159.465,1176.884699937934,1191.733,Albania,1159.465,-.01250748439498,1,52,0,0,0,0,-.0274498584312159
Albania,ALB,008,2017,2,2017q2,386201.614493,3715.739852727621,3713.477062432692,1188.86,observed quarterly,.3248503730405599,.0031254646070417,.0031235612792362,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1188.86,1192.732157484395,1191.733,Albania,1188.86,.0008682592567303,1,52,0,0,0,0,-.0024136854933305
Albania,ALB,008,2017,3,2017q3,361321.742573,3476.364541608672,3474.247524740385,1204.983,observed quarterly,.2998562988631375,.0028849905281723,.0028832336429148,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1204.983,1202.164749192018,1191.733,Albania,1204.983,.0087455423722461,1,52,0,0,0,0,.0110569086949598
Albania,ALB,008,2017,4,2017q4,374963.497947,3607.615194640967,3605.418249490384,1213.624,observed quarterly,.3089618349233371,.0029725971096822,.0029707868742629,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1213.624,1195.15039338565,1191.733,Albania,1213.624,.0028936827660035,1,52,0,0,0,0,.018202374465756
Albania,ALB,008,2018,1,2018q1,343699.872638,3306.820236406786,3304.806467673076,1219.856,observed quarterly,.2817544633448538,.0027108283571231,.0027091775321621,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1219.856,1213.644910547601,1228.957,Albania,1219.856,-.01250748439498,1,52,0,0,0,0,-.0074330231849931
Albania,ALB,008,2018,2,2018q2,402555.55962,3873.085144350726,3870.726534807692,1227.648,observed quarterly,.3279079667950422,.0031548824617079,.0031529612191831,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1227.648,1229.987366352657,1228.957,Albania,1227.648,.0008682592567303,1,52,0,0,0,0,-.0010656984935613
Albania,ALB,008,2018,3,2018q3,377959.003834,3636.435686802859,3634.221190711538,1232.265,observed quarterly,.3067189312639732,.0029510175869662,.0029492204929228,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1232.265,1239.714586801554,1228.957,Albania,1232.265,.0087455423722461,1,52,0,0,0,0,.0026880972069405
Albania,ALB,008,2018,4,2018q4,386944.349905,3722.885891135627,3720.618749086538,1236.061,observed quarterly,.3130463220706745,.0030118949559412,.0030100607891411,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1236.061,1232.481136298189,1228.957,Albania,1236.061,.0028936827660035,1,52,0,0,0,0,.0057638683916456
Albania,ALB,008,2019,1,2019q1,351050.442933,3377.541864593822,3375.485028201922,1241.714,observed quarterly,.2827144116382677,.0027200642535993,.0027184078042141,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1241.714,1248.912947338463,1264.67,Albania,1241.714,-.01250748439498,1,52,0,0,0,0,-.0183185353396797
Albania,ALB,008,2019,2,2019q2,410431.116478,3948.857796202815,3946.453043057692,1270.096,observed quarterly,.3231496804005367,.0031091018286829,.0031072084653898,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1270.096,1265.730308387694,1264.67,Albania,1270.096,.0008682592567303,1,52,0,0,0,0,.0042812695829769
Albania,ALB,008,2019,3,2019q3,394403.5198,3794.652382540649,3792.341536538461,1273.661,observed quarterly,.3096612990426809,.0029793268244381,.002977512490795,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1273.661,1275.740197981151,1264.67,Albania,1273.661,.0087455423722461,1,52,0,0,0,0,.0070842121077786
Albania,ALB,008,2019,4,2019q4,386822.350069,3721.712100981366,3719.445673740384,1273.208,observed quarterly,.3038170904274871,.002923098269082,.0029213181771874,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1273.208,1268.296546292694,1264.67,Albania,1273.208,.0028936827660035,1,52,0,0,0,0,.0067284812046367
Albania,ALB,008,2020,1,2020q1,343200.708824,3302.017659703023,3300.006815615384,1254.887,observed quarterly,.2734913253735197,.0026313266929238,.0026297242824377,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1254.887,1226.086934335244,1241.556,Albania,1254.887,-.01250748439498,1,52,0,0,0,0,.0106800970147384
Albania,ALB,008,2020,2,2020q2,364386.348615,3505.849863201949,3503.714890528846,1222.724,observed quarterly,.298011937783997,.0028672454807479,.0028654994017692,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1222.724,1242.596929444512,1241.556,Albania,1222.724,.0008682592567303,1,52,0,0,0,0,-.0152842750085717
Albania,ALB,008,2020,3,2020q3,383014.989768,3685.080559648503,3682.836440076923,1258.895,observed quarterly,.3042469703732242,.0029272342488043,.0029254516382041,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1258.895,1252.423871242842,1241.556,Albania,1258.895,.0087455423722461,1,52,0,0,0,0,.0138689203863037
Albania,ALB,008,2020,4,2020q4,401163.917124,3859.69581274494,3857.345356961538,1229.72,observed quarterly,.3262237884428976,.0031386785713373,.0031367671965663,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1229.72,1245.116264977403,1241.556,Albania,1229.72,.0028936827660035,1,52,0,0,0,0,-.009578930481074
Albania,ALB,008,2021,1,2021q1,361499.269252,3478.072569051666,3475.954512038461,1222.555,observed quarterly,.295691620624021,.0028449211438763,.0028431886598464,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1222.555,1232.398306192281,1247.947,Albania,1222.555,-.01250748439498,1,52,0,0,0,0,-.0205568699667974
Albania,ALB,008,2021,2,2021q2,431958.630262,4155.979252705172,4153.448367903846,1237.667,observed quarterly,.3490103802250525,.0033579139241049,.0033558690406255,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1237.667,1248.993287704694,1247.947,Albania,1237.667,.0008682592567303,1,52,0,0,0,0,-.0082716452459353
Albania,ALB,008,2021,3,2021q3,409396.112984,3938.899775350373,3936.501086384615,1267.595,observed quarterly,.3229707540531479,.0031073803346892,.0031054880197418,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1267.595,1258.870814402162,1247.947,Albania,1267.595,.0087455423722461,1,52,0,0,0,0,.0156216032681449
Albania,ALB,008,2021,4,2021q4,421806.337746,4058.30157223309,4055.830170634615,1263.97,observed quarterly,.3337154661471395,.0032107578282974,.0032088025591071,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1263.97,1251.525591700861,1247.947,Albania,1263.97,.0028936827660035,1,52,0,0,0,0,.0127577601690614
Albania,ALB,008,2022,1,2022q1,387596.420741,3729.159623562425,3726.888660971153,1266.451,observed quarterly,.3060492831866373,.0029445747396168,.0029427815691023,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1266.451,1281.727933324617,1297.899,Albania,1266.451,-.01250748439498,1,52,0,0,0,0,-.0245283028259773
Albania,ALB,008,2022,2,2022q2,445837.204822,4289.508400840255,4286.896200211538,1288.518,observed quarterly,.346007742865835,.0033290248183108,.0033269975275561,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1288.518,1298.987167819335,1297.899,Albania,1288.518,.0008682592567303,1,52,0,0,0,0,-.0072540824909423
Albania,ALB,008,2022,3,2022q3,429602.584914,4133.311166229434,4130.794085711538,1321.544,observed quarterly,.3250762630029723,.0031276379494209,.0031257332981055,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1321.544,1309.260065645218,1297.899,Albania,1321.544,.0087455423722461,1,52,0,0,0,0,.0180539467695688
Albania,ALB,008,2022,4,2022q4,440524.498228,4238.39355596036,4235.812482961538,1315.32,observed quarterly,.3349181174375818,.0032223288294562,.0032203665138229,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1315.32,1301.620833210831,1297.899,Albania,1315.32,.0028936827660035,1,52,0,0,0,0,.0133331787975993
Albania,ALB,008,2023,1,2023q1,398499.608932,3834.061854321541,3831.727008961538,1148.593,observed quarterly,.3469458798129538,.0033380508625088,.0033360180751246,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1148.593,1138.860437383814,1153.229,Albania,1148.593,-.01250748439498,1,52,0,0,0,0,-.0040281188280787
Albania,ALB,008,2023,2,2023q2,460490.087061,4430.487351858503,4427.789298663461,1160.037,observed quarterly,.3969615512789678,.0038192638268077,.003816937993067,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1160.037,1154.195875454965,1153.229,Albania,1160.037,.0008682592567303,1,52,0,0,0,0,.0058860672795079
Albania,ALB,008,2023,3,2023q3,446067.365747,4291.722835191301,4289.109286028845,1164.287,observed quarterly,.3831249217306386,.0036861382418521,.0036838934781792,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1164.287,1163.323707194449,1153.229,Albania,1164.287,.0087455423722461,1,52,0,0,0,0,.0095430486095215
Albania,ALB,008,2023,4,2023q4,457294.271768,4399.739634084858,4397.060305461538,1139.998,observed quarterly,.4011360298597015,.0038594275025788,.0038570772101894,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1139.998,1156.535979966772,1153.229,Albania,1139.998,.0028936827660035,1,52,0,0,0,0,-.0115393258629051
Albania,ALB,008,2024,1,2024q1,412948.377159,3973.076974686507,3970.657472682692,1174.096,observed quarterly,.3517160242084123,.0033839455842508,.0033818848481578,2010,2010,ALB,.0096212437061031,.0096153846153846,IMF_IFS_realGDP_nsa_baseyear,1174.096,1161.099851281559,1175.749,Albania,1174.096,-.01250748439498,1,52,0,0,0,0,-.0014069015383215
Argentina,ARG,032,1960,2,2004q1,115092.4,39370.70015366296,38895.70800946265,9063.321,observed quarterly,.0126987006197839,.0043439595876239,.0042915514091868,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9063.321,9170.296020570921,9254.724,Argentina,9063.321,-.0091063220488496,1,86,0,0,0,0,-.0208985146818603
Argentina,ARG,032,1960,2,2004q2,128598.9,43990.99099498219,43460.25684352821,9164.574000000001,observed quarterly,.0140321743269245,.004800113021618,.0047422015298832,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9164.574000000001,9157.591841300735,9254.724,Argentina,9164.574000000001,-.0104926445100726,1,86,0,0,0,0,-.0097887248298054
Argentina,ARG,032,1960,2,2004q3,120288,41148.00612450353,40651.57147685028,9340.741,observed quarterly,.0128777791826152,.0044052186142945,.0043520713695894,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9340.741,9286.388252706882,9254.724,Argentina,9340.741,.0034738100565036,1,86,0,0,0,0,.0092514614194448
Argentina,ARG,032,1960,2,2004q4,121135.9,41438.05496057169,40938.12098681986,9450.262000000001,observed quarterly,.0128182583720959,.0043848577913048,.0043319561919892,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9450.262000000001,9404.619885421429,9254.724,Argentina,9450.262000000001,.0161251565024185,1,86,0,0,0,0,.020908342126255
Argentina,ARG,032,1960,2,2005q1,123400.6,42212.76141067614,41703.48090571138,9276.218999999999,observed quarterly,.0133028985193213,.0045506430379313,.0044957413042654,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9276.218999999999,9438.655322398965,9525.554,Argentina,9276.218999999999,-.0091063220488496,1,86,0,0,0,0,-.0265240536220881
Argentina,ARG,032,1960,2,2005q2,145417.1,49744.14506357694,49144.00135180804,9419.949000000001,observed quarterly,.015437143024872,.0052807233949544,.005217013526486,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9419.949000000001,9425.579368360377,9525.554,Argentina,9419.949000000001,-.0104926445100726,1,86,0,0,0,0,-.0111484074901604
Argentina,ARG,032,1960,3,2005q3,128674.4,44016.81796410961,43485.7722203447,9661.683999999999,observed quarterly,.0133180095726583,.004555812212872,.0045008481151262,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9661.683999999999,9558.144874566231,9525.554,Argentina,9661.683999999999,.0034738100565036,1,86,0,0,0,0,.0141898781023353
Argentina,ARG,032,1960,3,2005q4,130563.8,44663.14214251176,44124.29874957755,9744.361999999999,observed quarterly,.0133989069782096,.0045834855214237,.0045281875560019,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9744.361999999999,9679.836434674407,9525.554,Argentina,9744.361999999999,.0161251565024185,1,86,0,0,0,0,.0227107792937433
Argentina,ARG,032,1960,3,2006q1,133087.1,45526.31023786591,44977.0530584657,9643.019,observed quarterly,.013801393526239,.0047211677419557,.0046642086942342,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9643.019,9835.492767100111,9926.045,Argentina,9643.019,-.0091063220488496,1,86,0,0,0,0,-.0289278768357433
Argentina,ARG,032,1960,3,2006q2,153519.1,52515.66961815202,51882.08854342683,9883.704,observed quarterly,.0155325473122222,.0053133592040142,.0052492555972363,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),9883.704,9821.867049561273,9926.045,Argentina,9883.704,-.0104926445100726,1,86,0,0,0,0,-.0042747704150188
Argentina,ARG,032,1960,3,2006q3,140744.7,48145.81485760353,47564.95437647853,10035.755,observed quarterly,.0140243260223072,.0047974282809418,.0047395491795563,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),10035.755,9960.006120532586,9926.045,Argentina,10035.755,.0034738100565036,1,86,0,0,0,0,.0109921053865844
Argentina,ARG,032,1960,3,2006q4,143198.5,48985.20845819799,48394.22102061506,10141.702,observed quarterly,.0141197700346549,.0048300776790915,.0047718046754495,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),10141.702,10086.81406280597,9926.045,Argentina,10141.702,.0161251565024185,1,86,0,0,0,0,.021493723473175
Argentina,ARG,032,1960,3,2007q1,144211.7,49331.80296309746,48736.63399797228,10081.841,observed quarterly,.0143041037842196,.0048931343951068,.0048341006367758,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),10081.841,10009.22476364205,,Argentina,10081.841,-.0091063220488496,1,86,1,0,0,1,
Argentina,ARG,032,1960,3,2007q2,168655.1,57693.37828984401,56997.33017911456,10248.69,observed quarterly,.0164562592877724,.0056293417295131,.0055614259167869,2004,2004,ARG,.3420790612904324,.3379520108144643,IMF_IFS_NA (nsa_fb),10248.69,9995.358364403939,,Argentina,10248.69,-.0104926445100726,1,86,1,0,0,1,
